,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
2000,116.6275,40.3275,83,86.0,3.0,25.0,39.0,0.7,137.0,train
2001,116.2296,40.217,83,113.0,3.0,52.0,18.0,1.0,130.0,test
2002,116.3966,39.9821,83,107.0,1.0,41.0,26.0,0.9,155.0,train
2003,116.184,39.9136,83,154.0,1.0,55.0,16.0,0.9,119.0,train
2004,115.9718,40.4529,83,58.0,2.0,30.0,23.0,0.6,52.0,train
2005,117.0709,40.1465,83,87.0,1.0,24.0,23.0,0.9,118.0,train
2006,116.8336,40.4095,83,67.0,3.0,15.0,44.0,0.6,124.0,train
2007,116.088,39.9726,83,97.0,1.0,42.0,27.0,0.8,104.0,train
2009,116.6804,39.9081,83,107.0,3.0,33.0,22.0,0.9,154.0,test
2010,115.9577,39.7603,83,110.0,1.0,63.0,21.0,0.9,124.0,test
2011,116.4672,39.7733,83,105.0,1.0,40.0,18.0,1.0,137.0,train
2012,115.986,40.4563,83,55.0,4.0,36.0,22.0,0.8,54.0,train
2013,116.6151,40.3053,83,83.0,1.0,22.0,40.0,0.8,132.0,train
2014,116.2545,39.8768,83,20.0,1.0,56.0,18.0,1.0,139.0,train
2015,116.84,40.3844,83,104.0,5.0,27.0,31.0,0.8,135.0,train
2016,116.3621,39.8784,84,101.0,2.0,50.0,35.0,0.9,136.0,train
2017,116.2202,40.2915,84,1.0,1.0,49.0,30.0,1.0,106.0,train
2018,116.4174,39.9289,84,114.0,2.0,45.0,33.0,1.1,145.0,train
2019,116.4072,39.8863,84,112.0,1.0,55.0,31.0,1.1,145.0,train
2020,116.462,39.9365,84,95.0,1.0,36.0,30.0,1.0,157.0,test
2021,116.3392,39.9295,84,106.0,4.0,46.0,32.0,1.1,140.0,train
2022,116.2878,39.9611,84,114.0,1.0,55.0,29.0,1.0,135.0,train
2023,116.6636,40.135,84,122.0,1.0,29.0,29.0,0.8,143.0,train
2024,116.6275,40.3275,84,96.0,3.0,27.0,46.0,0.7,140.0,test
2025,116.2296,40.217,84,103.0,3.0,45.0,28.0,0.9,128.0,train
2026,116.3966,39.9821,84,108.0,1.0,46.0,34.0,0.9,154.0,train
2027,116.184,39.9136,84,133.0,1.0,61.0,18.0,0.9,124.0,train
2028,115.9718,40.4529,84,62.0,2.0,31.0,35.0,0.5,54.0,test
2029,117.0709,40.1465,84,83.0,1.0,26.0,24.0,1.0,127.0,train
2030,116.8336,40.4095,84,69.0,3.0,20.0,50.0,0.6,124.0,train
2031,116.088,39.9726,84,106.0,1.0,52.0,27.0,0.9,115.0,train
2032,116.1541,39.8204,84,134.0,1.0,54.0,23.0,0.9,120.0,train
2033,116.6804,39.9081,84,117.0,1.0,36.0,26.0,0.9,155.0,train
2034,115.9577,39.7603,84,121.0,1.0,63.0,40.0,0.9,129.0,test
2035,116.4672,39.7733,84,105.0,1.0,42.0,25.0,1.0,144.0,train
2036,115.986,40.4563,84,65.0,5.0,33.0,38.0,0.7,54.0,test
2037,116.6151,40.3053,84,101.0,1.0,27.0,41.0,0.8,135.0,train
2039,116.84,40.3844,84,92.0,5.0,26.0,45.0,0.8,131.0,train
2040,116.3621,39.8784,85,108.0,2.0,54.0,42.0,0.9,142.0,train
2042,116.4174,39.9289,85,107.0,2.0,49.0,43.0,1.1,146.0,test
2043,116.4072,39.8863,85,115.0,1.0,61.0,36.0,1.1,150.0,train
2044,116.462,39.9365,85,116.0,1.0,42.0,40.0,1.0,162.0,train
2045,116.3392,39.9295,85,104.0,5.0,46.0,43.0,1.1,141.0,train
2046,116.2878,39.9611,85,107.0,1.0,59.0,37.0,1.0,134.0,train
2047,116.6636,40.135,85,2.0,1.0,29.0,38.0,0.8,147.0,test
2048,116.6275,40.3275,85,113.0,3.0,28.0,48.0,0.8,151.0,train
2049,116.2296,40.217,85,95.0,3.0,43.0,35.0,0.9,127.0,train
2050,116.3966,39.9821,85,110.0,1.0,50.0,42.0,1.0,154.0,train
2051,116.184,39.9136,85,118.0,1.0,61.0,27.0,1.0,128.0,train
2052,115.9718,40.4529,85,63.0,4.0,24.0,53.0,0.5,48.0,train
2053,117.0709,40.1465,85,86.0,3.0,26.0,27.0,1.0,131.0,test
2054,116.8336,40.4095,85,98.0,3.0,27.0,52.0,0.7,138.0,train
2055,116.088,39.9726,85,116.0,1.0,58.0,30.0,0.9,119.0,test
2056,116.1541,39.8204,85,129.0,3.0,58.0,32.0,1.0,122.0,train
2057,116.6804,39.9081,85,132.0,1.0,39.0,29.0,0.9,160.0,train
2058,115.9577,39.7603,85,117.0,2.0,70.0,63.0,0.9,128.0,train
2059,116.4672,39.7733,85,130.0,1.0,47.0,28.0,1.0,152.0,train
2060,115.986,40.4563,85,60.0,6.0,29.0,49.0,0.7,47.0,train
2061,116.6151,40.3053,85,107.0,1.0,28.0,45.0,0.8,141.0,train
2062,116.2545,39.8768,85,108.0,3.0,64.0,27.0,1.1,148.0,train
2063,116.84,40.3844,85,111.0,4.0,27.0,47.0,0.8,145.0,train
2064,116.3621,39.8784,86,125.0,2.0,58.0,44.0,0.9,144.0,train
2066,116.4174,39.9289,86,120.0,2.0,54.0,45.0,1.1,156.0,train
2067,116.4072,39.8863,86,115.0,1.0,64.0,40.0,1.1,150.0,train
2068,116.462,39.9365,86,123.0,2.0,47.0,45.0,1.0,165.0,train
2069,116.3392,39.9295,86,105.0,4.0,49.0,48.0,1.1,147.0,train
2070,116.2878,39.9611,86,111.0,1.0,61.0,46.0,1.0,139.0,test
2071,116.6636,40.135,86,92.0,1.0,29.0,42.0,0.8,149.0,train
2072,116.6275,40.3275,86,124.0,3.0,30.0,50.0,0.8,160.0,train
2073,116.2296,40.217,86,100.0,1.0,44.0,39.0,0.9,130.0,test
2074,116.3966,39.9821,86,114.0,1.0,55.0,50.0,1.0,162.0,train
2075,116.184,39.9136,86,146.0,1.0,67.0,28.0,1.0,133.0,test
2076,115.9718,40.4529,86,67.0,5.0,25.0,58.0,0.4,43.0,test
2077,117.0709,40.1465,86,84.0,3.0,26.0,34.0,1.0,135.0,train
2078,116.8336,40.4095,86,118.0,3.0,25.0,51.0,0.8,156.0,train
2079,116.088,39.9726,86,116.0,1.0,61.0,33.0,0.9,121.0,train
2080,116.1541,39.8204,86,114.0,5.0,62.0,35.0,1.1,123.0,train
2081,116.6804,39.9081,86,121.0,1.0,34.0,36.0,0.9,160.0,train
2082,115.9577,39.7603,86,123.0,2.0,74.0,76.0,0.9,129.0,test
2083,116.4672,39.7733,86,135.0,1.0,49.0,29.0,1.0,156.0,test
2084,115.986,40.4563,86,61.0,6.0,29.0,56.0,0.6,45.0,train
2085,116.6151,40.3053,86,116.0,1.0,30.0,46.0,0.9,152.0,train
2086,116.2545,39.8768,86,114.0,3.0,64.0,35.0,1.1,147.0,train
2087,116.84,40.3844,86,117.0,5.0,25.0,45.0,0.9,151.0,train
2088,116.3621,39.8784,87,110.0,2.0,62.0,43.0,0.9,145.0,test
2089,116.2202,40.2915,87,146.0,1.0,40.0,53.0,0.9,109.0,train
2090,116.4174,39.9289,87,125.0,2.0,57.0,42.0,1.0,158.0,test
2091,116.4072,39.8863,87,119.0,1.0,68.0,38.0,1.1,154.0,train
2092,116.462,39.9365,87,143.0,2.0,51.0,41.0,1.1,166.0,test
2093,116.3392,39.9295,87,114.0,4.0,54.0,47.0,1.0,148.0,train
2094,116.2878,39.9611,87,118.0,1.0,63.0,53.0,1.0,144.0,train
2095,116.6636,40.135,87,121.0,2.0,40.0,43.0,0.9,152.0,train
2096,116.6275,40.3275,87,118.0,3.0,34.0,51.0,0.8,164.0,train
2097,116.2296,40.217,87,105.0,1.0,45.0,45.0,0.9,135.0,train
2098,116.3966,39.9821,87,124.0,2.0,61.0,50.0,1.1,169.0,test
2099,116.184,39.9136,87,135.0,3.0,66.0,35.0,0.9,131.0,train
2100,115.9718,40.4529,87,71.0,6.0,25.0,65.0,0.4,38.0,train
2101,117.0709,40.1465,87,77.0,1.0,25.0,41.0,1.0,132.0,train
2102,116.8336,40.4095,87,114.0,3.0,25.0,46.0,0.8,159.0,train
2103,116.088,39.9726,87,119.0,3.0,64.0,36.0,0.9,123.0,train
2104,116.1541,39.8204,87,123.0,5.0,67.0,32.0,1.1,125.0,train
2105,116.6804,39.9081,87,114.0,1.0,34.0,35.0,0.9,158.0,train
2106,115.9577,39.7603,87,141.0,1.0,80.0,73.0,0.9,140.0,test
2107,116.4672,39.7733,87,132.0,1.0,47.0,28.0,1.0,157.0,test
2108,115.986,40.4563,87,67.0,7.0,32.0,59.0,0.6,40.0,test
2109,116.6151,40.3053,87,109.0,1.0,34.0,47.0,0.9,155.0,train
2110,116.2545,39.8768,87,121.0,3.0,69.0,32.0,1.1,146.0,test
2111,116.84,40.3844,87,110.0,4.0,26.0,44.0,0.9,148.0,train
2112,116.3621,39.8784,88,112.0,2.0,70.0,30.0,0.9,149.0,train
2113,116.2202,40.2915,88,135.0,1.0,45.0,53.0,0.9,116.0,train
2114,116.4174,39.9289,88,130.0,2.0,62.0,33.0,1.0,156.0,train
2115,116.4072,39.8863,88,131.0,1.0,73.0,26.0,1.1,161.0,train
2116,116.462,39.9365,88,134.0,1.0,50.0,33.0,1.0,173.0,train
2117,116.3392,39.9295,88,124.0,4.0,59.0,40.0,1.0,149.0,train
2118,116.2878,39.9611,88,129.0,2.0,73.0,40.0,1.0,144.0,train
2119,116.6636,40.135,88,126.0,2.0,43.0,30.0,0.9,153.0,train
2120,116.6275,40.3275,88,123.0,3.0,40.0,48.0,0.8,165.0,train
2121,116.2296,40.217,88,118.0,1.0,46.0,47.0,0.9,140.0,train
2122,116.3966,39.9821,88,127.0,1.0,67.0,40.0,1.1,170.0,test
2123,116.184,39.9136,88,125.0,3.0,70.0,30.0,0.9,136.0,train
2124,115.9718,40.4529,88,74.0,5.0,28.0,65.0,0.4,35.0,train
2125,117.0709,40.1465,88,80.0,3.0,25.0,40.0,1.0,134.0,train
2126,116.8336,40.4095,88,116.0,3.0,28.0,47.0,0.8,162.0,train
2127,116.088,39.9726,88,122.0,1.0,68.0,33.0,0.9,126.0,train
2128,116.1541,39.8204,88,126.0,5.0,71.0,24.0,1.1,129.0,train
2129,116.6804,39.9081,88,110.0,1.0,40.0,27.0,0.9,158.0,train
2130,115.9577,39.7603,88,131.0,1.0,82.0,42.0,0.9,129.0,train
2131,116.4672,39.7733,88,126.0,1.0,48.0,26.0,0.9,155.0,train
2132,115.986,40.4563,88,80.0,6.0,33.0,61.0,0.6,36.0,train
2133,116.6151,40.3053,88,115.0,1.0,39.0,45.0,0.9,155.0,train
2134,116.2545,39.8768,88,123.0,3.0,74.0,25.0,1.0,148.0,train
2135,116.84,40.3844,88,114.0,5.0,31.0,44.0,0.9,151.0,train
2136,116.3621,39.8784,89,120.0,2.0,70.0,14.0,0.9,146.0,train
2137,116.2202,40.2915,89,138.0,1.0,54.0,38.0,0.9,116.0,train
2138,116.4174,39.9289,89,134.0,1.0,71.0,14.0,1.1,160.0,train
2139,116.4072,39.8863,89,120.0,1.0,77.0,13.0,1.1,157.0,train
2140,116.462,39.9365,89,119.0,1.0,58.0,17.0,1.0,163.0,test
2141,116.3392,39.9295,89,129.0,3.0,68.0,17.0,1.1,156.0,train
2142,116.2878,39.9611,89,129.0,1.0,83.0,16.0,1.0,141.0,train
2143,116.6636,40.135,89,126.0,1.0,49.0,20.0,0.9,147.0,train
2144,116.6275,40.3275,89,136.0,3.0,44.0,30.0,0.9,164.0,train
2145,116.2296,40.217,89,106.0,1.0,49.0,38.0,0.9,140.0,test
2146,116.3966,39.9821,89,135.0,1.0,72.0,22.0,1.1,176.0,train
2147,116.184,39.9136,89,127.0,3.0,79.0,16.0,1.0,139.0,train
2148,115.9718,40.4529,89,101.0,3.0,45.0,43.0,0.5,60.0,train
2149,117.0709,40.1465,89,82.0,3.0,29.0,31.0,1.0,132.0,test
2150,116.8336,40.4095,89,118.0,3.0,29.0,38.0,0.8,164.0,train
2151,116.088,39.9726,89,121.0,3.0,76.0,20.0,1.0,129.0,test
2152,116.1541,39.8204,89,108.0,5.0,73.0,19.0,1.1,129.0,train
2153,116.6804,39.9081,89,100.0,3.0,48.0,21.0,0.9,153.0,train
2154,115.9577,39.7603,89,104.0,3.0,81.0,28.0,0.8,122.0,train
2155,116.4672,39.7733,89,118.0,1.0,54.0,15.0,0.9,151.0,train
2156,115.986,40.4563,89,116.0,4.0,49.0,38.0,0.7,72.0,train
2157,116.6151,40.3053,89,128.0,1.0,42.0,29.0,1.0,155.0,train
2158,116.2545,39.8768,89,120.0,3.0,77.0,12.0,1.0,151.0,train
2159,116.84,40.3844,89,110.0,4.0,32.0,35.0,0.9,153.0,train
2160,116.3621,39.8784,90,119.0,2.0,75.0,3.0,0.9,144.0,train
2161,116.2202,40.2915,90,122.0,3.0,49.0,21.0,0.9,114.0,train
2162,116.4174,39.9289,90,124.0,2.0,74.0,2.0,1.1,148.0,train
2163,116.4072,39.8863,90,113.0,1.0,83.0,1.0,1.1,150.0,train
2164,116.462,39.9365,90,109.0,1.0,63.0,5.0,1.1,151.0,test
2166,116.2878,39.9611,90,142.0,1.0,86.0,2.0,1.1,150.0,train
2167,116.6636,40.135,90,128.0,1.0,57.0,9.0,1.0,141.0,train
2168,116.6275,40.3275,90,126.0,3.0,54.0,15.0,0.9,153.0,train
2169,116.2296,40.217,90,120.0,3.0,60.0,27.0,1.0,151.0,train
2170,116.3966,39.9821,90,132.0,1.0,74.0,9.0,1.1,174.0,train
2172,115.9718,40.4529,90,116.0,1.0,55.0,27.0,0.7,92.0,test
2173,117.0709,40.1465,90,103.0,1.0,39.0,14.0,1.0,141.0,test
2174,116.8336,40.4095,90,121.0,3.0,37.0,23.0,0.9,159.0,train
2175,116.088,39.9726,90,137.0,1.0,74.0,2.0,1.4,134.0,train
2176,116.1541,39.8204,90,109.0,5.0,68.0,8.0,1.1,131.0,test
2177,116.6804,39.9081,90,96.0,3.0,49.0,20.0,0.9,149.0,train
2178,115.9577,39.7603,90,148.0,3.0,79.0,16.0,0.9,128.0,test
2179,116.4672,39.7733,90,112.0,1.0,55.0,10.0,0.9,144.0,train
2180,115.986,40.4563,90,107.0,3.0,53.0,32.0,0.8,90.0,train
2181,116.6151,40.3053,90,119.0,3.0,48.0,16.0,1.0,154.0,train
2182,116.2545,39.8768,90,135.0,3.0,77.0,2.0,1.1,156.0,test
2183,116.84,40.3844,90,116.0,5.0,42.0,21.0,1.0,154.0,train
2185,116.2202,40.2915,91,118.0,3.0,45.0,18.0,1.0,121.0,test
2188,116.462,39.9365,91,117.0,1.0,64.0,1.0,1.1,151.0,test
2191,116.6636,40.135,91,148.0,1.0,52.0,11.0,0.9,148.0,train
2192,116.6275,40.3275,91,125.0,3.0,56.0,8.0,0.9,146.0,test
2193,116.2296,40.217,91,156.0,3.0,81.0,7.0,1.1,167.0,test
2194,116.3966,39.9821,91,115.0,1.0,72.0,7.0,1.1,169.0,train
2196,115.9718,40.4529,91,102.0,1.0,39.0,42.0,0.7,94.0,train
2197,117.0709,40.1465,91,138.0,3.0,44.0,15.0,1.0,152.0,train
2198,116.8336,40.4095,91,117.0,3.0,38.0,16.0,0.9,141.0,train
2199,116.088,39.9726,91,150.0,1.0,74.0,3.0,1.4,148.0,train
2200,116.1541,39.8204,91,100.0,4.0,65.0,4.0,1.1,129.0,train
2201,116.6804,39.9081,91,100.0,3.0,49.0,19.0,1.0,151.0,train
2202,115.9577,39.7603,91,147.0,3.0,79.0,5.0,0.9,133.0,train
2203,116.4672,39.7733,91,98.0,1.0,53.0,11.0,0.9,149.0,train
2204,115.986,40.4563,91,98.0,3.0,39.0,45.0,0.8,93.0,test
2205,116.6151,40.3053,91,123.0,3.0,50.0,10.0,1.0,152.0,train
2206,116.2545,39.8768,91,129.0,3.0,69.0,1.0,1.1,149.0,train
2207,116.84,40.3844,91,139.0,4.0,48.0,10.0,1.1,155.0,train
2209,116.2202,40.2915,92,114.0,3.0,46.0,9.0,1.0,125.0,test
2212,116.462,39.9365,92,109.0,1.0,64.0,1.0,1.2,141.0,test
2215,116.6636,40.135,92,146.0,1.0,54.0,9.0,1.0,157.0,train
2216,116.6275,40.3275,92,132.0,3.0,59.0,3.0,1.0,148.0,train
2217,116.2296,40.217,92,149.0,3.0,71.0,2.0,1.1,166.0,train
2218,116.3966,39.9821,92,114.0,1.0,72.0,6.0,1.1,166.0,test
2220,115.9718,40.4529,92,95.0,3.0,35.0,44.0,0.6,100.0,train
2221,117.0709,40.1465,92,140.0,3.0,43.0,16.0,1.0,154.0,train
2222,116.8336,40.4095,92,115.0,3.0,33.0,13.0,0.9,127.0,train
2223,116.088,39.9726,92,131.0,1.0,70.0,2.0,1.2,145.0,train
2224,116.1541,39.8204,92,82.0,4.0,63.0,3.0,1.1,118.0,train
2225,116.6804,39.9081,92,96.0,3.0,51.0,16.0,1.0,146.0,train
2226,115.9577,39.7603,92,118.0,3.0,65.0,5.0,0.9,129.0,test
2227,116.4672,39.7733,92,89.0,1.0,51.0,6.0,0.9,134.0,train
2228,115.986,40.4563,92,95.0,3.0,38.0,44.0,0.8,101.0,train
2229,116.6151,40.3053,92,124.0,1.0,53.0,5.0,1.0,156.0,train
2230,116.2545,39.8768,92,116.0,3.0,63.0,1.0,1.1,143.0,train
2231,116.84,40.3844,92,136.0,5.0,47.0,7.0,1.1,142.0,train
2233,116.2202,40.2915,93,114.0,3.0,49.0,3.0,1.0,130.0,train
2234,116.4174,39.9289,93,119.0,2.0,70.0,1.0,1.2,133.0,train
2236,116.462,39.9365,93,100.0,1.0,60.0,1.0,1.2,127.0,train
2239,116.6636,40.135,93,134.0,1.0,58.0,6.0,1.0,156.0,train
2240,116.6275,40.3275,93,129.0,3.0,57.0,4.0,1.0,144.0,test
2241,116.2296,40.217,93,125.0,3.0,64.0,3.0,1.1,159.0,test
2242,116.3966,39.9821,93,101.0,1.0,68.0,6.0,1.1,149.0,train
2244,115.9718,40.4529,93,102.0,1.0,36.0,39.0,0.7,115.0,train
2245,117.0709,40.1465,93,128.0,3.0,42.0,15.0,1.1,155.0,test
2246,116.8336,40.4095,93,96.0,3.0,33.0,18.0,0.9,108.0,train
2247,116.088,39.9726,93,120.0,1.0,56.0,2.0,1.2,137.0,train
2248,116.1541,39.8204,93,92.0,5.0,61.0,2.0,1.1,105.0,test
2249,116.6804,39.9081,93,104.0,3.0,59.0,7.0,1.0,145.0,train
2250,115.9577,39.7603,93,107.0,3.0,59.0,5.0,0.8,115.0,test
2251,116.4672,39.7733,93,81.0,1.0,43.0,4.0,0.9,110.0,test
2252,115.986,40.4563,93,103.0,3.0,37.0,43.0,0.9,113.0,train
2253,116.6151,40.3053,93,117.0,1.0,50.0,5.0,1.0,153.0,test
2254,116.2545,39.8768,93,94.0,3.0,53.0,1.0,1.1,131.0,train
2255,116.84,40.3844,93,108.0,4.0,35.0,16.0,1.0,132.0,test
2257,116.2202,40.2915,94,108.0,3.0,42.0,3.0,1.0,121.0,train
2258,116.4174,39.9289,94,126.0,2.0,71.0,1.0,1.4,131.0,train
2263,116.6636,40.135,94,136.0,1.0,48.0,11.0,1.0,154.0,train
2264,116.6275,40.3275,94,119.0,3.0,56.0,2.0,1.0,142.0,train
2265,116.2296,40.217,94,106.0,3.0,54.0,2.0,1.1,148.0,train
2266,116.3966,39.9821,94,108.0,1.0,66.0,7.0,1.3,129.0,train
2268,115.9718,40.4529,94,101.0,3.0,31.0,42.0,0.7,119.0,train
2269,117.0709,40.1465,94,105.0,1.0,31.0,20.0,1.0,143.0,train
2270,116.8336,40.4095,94,87.0,3.0,35.0,16.0,0.9,102.0,test
2271,116.088,39.9726,94,127.0,1.0,51.0,1.0,1.3,126.0,train
2272,116.1541,39.8204,94,93.0,5.0,62.0,2.0,1.1,95.0,train
2273,116.6804,39.9081,94,113.0,3.0,55.0,9.0,1.0,149.0,test
2274,115.9577,39.7603,94,94.0,3.0,48.0,5.0,0.8,104.0,test
2275,116.4672,39.7733,94,97.0,1.0,54.0,2.0,1.0,103.0,train
2276,115.986,40.4563,94,97.0,3.0,34.0,43.0,0.9,117.0,train
2277,116.6151,40.3053,94,119.0,3.0,51.0,6.0,1.0,155.0,train
2278,116.2545,39.8768,94,89.0,4.0,61.0,1.0,1.1,113.0,train
2279,116.84,40.3844,94,110.0,4.0,37.0,15.0,0.9,139.0,train
2281,116.2202,40.2915,95,88.0,3.0,34.0,3.0,0.9,118.0,train
2287,116.6636,40.135,95,107.0,1.0,31.0,25.0,0.9,150.0,test
2288,116.6275,40.3275,95,123.0,3.0,54.0,1.0,1.0,141.0,test
2289,116.2296,40.217,95,114.0,3.0,55.0,2.0,1.1,133.0,train
2290,116.3966,39.9821,95,127.0,1.0,68.0,6.0,1.2,115.0,test
2292,115.9718,40.4529,95,92.0,3.0,28.0,42.0,0.7,113.0,train
2293,117.0709,40.1465,95,85.0,1.0,27.0,16.0,1.0,130.0,train
2294,116.8336,40.4095,95,103.0,3.0,36.0,15.0,0.9,101.0,train
2295,116.088,39.9726,95,135.0,1.0,55.0,1.0,1.1,112.0,train
2296,116.1541,39.8204,95,101.0,5.0,61.0,2.0,1.2,89.0,train
2297,116.6804,39.9081,95,121.0,1.0,54.0,7.0,1.0,153.0,train
2298,115.9577,39.7603,95,82.0,3.0,44.0,4.0,0.8,96.0,train
2299,116.4672,39.7733,95,110.0,1.0,62.0,1.0,1.0,101.0,train
2300,115.986,40.4563,95,87.0,3.0,33.0,38.0,0.9,109.0,train
2301,116.6151,40.3053,95,121.0,3.0,48.0,3.0,1.0,157.0,train
2302,116.2545,39.8768,95,109.0,5.0,66.0,2.0,1.3,105.0,test
2303,116.84,40.3844,95,102.0,4.0,41.0,14.0,1.0,138.0,train
2305,116.2202,40.2915,96,85.0,3.0,32.0,2.0,0.9,114.0,train
2311,116.6636,40.135,96,96.0,1.0,29.0,26.0,0.9,147.0,train
2312,116.6275,40.3275,96,119.0,3.0,50.0,2.0,0.9,136.0,test
2313,116.2296,40.217,96,127.0,3.0,60.0,2.0,1.1,129.0,train
2314,116.3966,39.9821,96,122.0,1.0,69.0,6.0,1.1,126.0,train
2316,115.9718,40.4529,96,84.0,3.0,24.0,39.0,0.7,108.0,train
2317,117.0709,40.1465,96,74.0,1.0,23.0,17.0,1.0,112.0,test
2318,116.8336,40.4095,96,84.0,3.0,32.0,17.0,0.9,98.0,train
2320,116.1541,39.8204,96,111.0,5.0,55.0,2.0,1.2,84.0,test
2321,116.6804,39.9081,96,118.0,3.0,59.0,3.0,1.0,149.0,train
2322,115.9577,39.7603,96,87.0,3.0,44.0,3.0,0.8,96.0,test
2323,116.4672,39.7733,96,85.0,1.0,60.0,2.0,1.0,93.0,train
2324,115.986,40.4563,96,80.0,3.0,28.0,32.0,0.9,104.0,test
2325,116.6151,40.3053,96,114.0,3.0,48.0,3.0,1.0,151.0,train
2326,116.2545,39.8768,96,107.0,5.0,44.0,1.0,1.4,103.0,train
2327,116.84,40.3844,96,86.0,4.0,37.0,14.0,0.9,135.0,train
2329,116.2202,40.2915,97,79.0,3.0,27.0,3.0,0.9,120.0,train
2335,116.6636,40.135,97,99.0,1.0,29.0,23.0,0.9,146.0,train
2336,116.6275,40.3275,97,115.0,3.0,48.0,2.0,0.9,135.0,train
2337,116.2296,40.217,97,136.0,3.0,57.0,2.0,1.0,145.0,train
2338,116.3966,39.9821,97,105.0,1.0,70.0,6.0,1.0,138.0,train
2340,115.9718,40.4529,97,78.0,3.0,21.0,28.0,0.7,98.0,train
2341,117.0709,40.1465,97,63.0,1.0,20.0,22.0,0.9,99.0,test
2342,116.8336,40.4095,97,86.0,3.0,30.0,15.0,0.9,99.0,train
2344,116.1541,39.8204,97,113.0,5.0,45.0,2.0,1.2,80.0,train
2345,116.6804,39.9081,97,120.0,3.0,56.0,4.0,1.0,151.0,train
2346,115.9577,39.7603,97,57.0,3.0,52.0,2.0,0.9,75.0,test
2347,116.4672,39.7733,97,79.0,1.0,55.0,3.0,1.1,97.0,train
2348,115.986,40.4563,97,64.0,2.0,27.0,17.0,0.9,91.0,train
2349,116.6151,40.3053,97,110.0,3.0,44.0,4.0,0.9,147.0,train
2350,116.2545,39.8768,97,106.0,4.0,53.0,1.0,1.3,104.0,train
2351,116.84,40.3844,97,79.0,4.0,34.0,16.0,0.9,130.0,train
2353,116.2202,40.2915,98,74.0,3.0,26.0,3.0,0.9,118.0,train
2359,116.6636,40.135,98,102.0,1.0,26.0,22.0,0.9,147.0,train
2360,116.6275,40.3275,98,96.0,3.0,43.0,6.0,0.9,129.0,train
2361,116.2296,40.217,98,131.0,3.0,56.0,2.0,1.0,154.0,train
2362,116.3966,39.9821,98,112.0,3.0,67.0,6.0,1.0,137.0,test
2364,115.9718,40.4529,98,66.0,3.0,20.0,24.0,0.7,85.0,train
2365,117.0709,40.1465,98,65.0,3.0,19.0,24.0,0.9,97.0,train
2366,116.8336,40.4095,98,90.0,3.0,36.0,9.0,0.9,105.0,train
2368,116.1541,39.8204,98,118.0,1.0,52.0,2.0,1.3,82.0,train
2369,116.6804,39.9081,98,124.0,3.0,51.0,6.0,1.0,153.0,test
2370,115.9577,39.7603,98,53.0,3.0,56.0,2.0,0.9,90.0,train
2371,116.4672,39.7733,98,101.0,1.0,53.0,3.0,1.1,105.0,test
2372,115.986,40.4563,98,54.0,2.0,30.0,9.0,0.8,73.0,test
2373,116.6151,40.3053,98,108.0,1.0,41.0,6.0,0.9,146.0,train
2374,116.2545,39.8768,98,108.0,3.0,69.0,1.0,1.3,102.0,train
2375,116.84,40.3844,98,82.0,5.0,30.0,22.0,0.9,137.0,train
2377,116.2202,40.2915,99,98.0,3.0,43.0,4.0,0.9,129.0,test
2383,116.6636,40.135,99,91.0,1.0,26.0,23.0,0.9,147.0,train
2384,116.6275,40.3275,99,88.0,3.0,37.0,10.0,0.9,127.0,train
2385,116.2296,40.217,99,130.0,3.0,58.0,2.0,1.1,153.0,test
2386,116.3966,39.9821,99,103.0,3.0,65.0,6.0,0.9,132.0,train
2388,115.9718,40.4529,99,62.0,3.0,17.0,22.0,0.6,80.0,test
2389,117.0709,40.1465,99,71.0,3.0,20.0,24.0,0.9,100.0,test
2390,116.8336,40.4095,99,112.0,3.0,36.0,6.0,0.9,117.0,test
2392,116.1541,39.8204,99,111.0,3.0,56.0,2.0,1.1,80.0,train
2393,116.6804,39.9081,99,132.0,3.0,52.0,5.0,1.0,158.0,test
2394,115.9577,39.7603,99,96.0,3.0,66.0,2.0,1.0,86.0,train
2395,116.4672,39.7733,99,104.0,1.0,49.0,7.0,1.1,121.0,train
2396,115.986,40.4563,99,51.0,2.0,25.0,8.0,0.8,61.0,test
2397,116.6151,40.3053,99,86.0,3.0,36.0,11.0,0.9,140.0,train
2398,116.2545,39.8768,99,111.0,3.0,69.0,1.0,1.2,104.0,train
2399,116.84,40.3844,99,93.0,4.0,33.0,17.0,0.8,144.0,train
2401,116.2202,40.2915,100,87.0,3.0,35.0,9.0,0.9,124.0,test
2407,116.6636,40.135,100,101.0,1.0,28.0,22.0,0.9,152.0,train
2408,116.6275,40.3275,100,89.0,3.0,36.0,13.0,0.9,132.0,train
2409,116.2296,40.217,100,125.0,3.0,57.0,2.0,1.0,155.0,test
2410,116.3966,39.9821,100,96.0,3.0,63.0,6.0,0.9,126.0,train
2412,115.9718,40.4529,100,52.0,3.0,21.0,14.0,0.6,67.0,train
2413,117.0709,40.1465,100,76.0,1.0,18.0,26.0,0.9,99.0,train
2414,116.8336,40.4095,100,112.0,3.0,31.0,19.0,0.9,122.0,test
2417,116.6804,39.9081,100,140.0,3.0,48.0,5.0,1.0,159.0,train
2418,115.9577,39.7603,100,85.0,3.0,67.0,1.0,1.0,82.0,train
2419,116.4672,39.7733,100,106.0,1.0,51.0,8.0,1.1,139.0,train
