x,y,t,PM10,SO2,NO2,O3,CO,PM25,stationID
116.4174,39.9289,16,71.0,2.0,38.0,32.0,0.8,57.0,1003A
116.4072,39.8863,16,65.0,4.0,39.0,36.0,0.9,57.0,1004A
116.462,39.9365,16,70.0,2.0,30.0,30.0,0.9,55.0,1005A
116.3392,39.9295,16,68.0,5.0,37.0,29.0,0.8,61.0,1006A
116.2878,39.9611,16,72.0,2.0,47.0,21.0,0.8,62.0,1007A
116.6636,40.135,16,68.0,3.0,38.0,25.0,0.9,49.0,1008A
116.6275,40.3275,16,102.0,2.0,43.0,21.0,0.8,52.0,1009A
116.2296,40.217,16,84.0,2.0,55.0,17.0,1.1,57.0,1010A
116.3966,39.9821,16,67.0,1.0,45.0,38.0,0.8,58.0,1011A
116.184,39.9136,16,82.0,1.0,52.0,17.0,0.9,72.0,1012A
115.9718,40.4529,16,95.0,3.0,29.0,48.0,0.7,70.0,3281A
117.0709,40.1465,16,46.0,4.0,22.0,42.0,0.7,39.0,3417A
116.8336,40.4095,16,75.0,2.0,19.0,45.0,0.6,46.0,3418A
116.088,39.9726,16,73.0,2.0,40.0,27.0,0.9,66.0,3671A
116.1541,39.8204,16,77.0,3.0,39.0,33.0,0.9,66.0,3672A
116.6804,39.9081,16,69.0,4.0,43.0,31.0,0.8,49.0,3673A
115.9577,39.7603,16,73.0,3.0,34.0,50.0,0.7,76.0,3674A
116.4672,39.7733,16,75.0,2.0,32.0,41.0,0.9,60.0,3675A
115.986,40.4563,16,99.0,3.0,35.0,44.0,0.8,71.0,3694A
116.6151,40.3053,16,114.0,2.0,41.0,18.0,0.8,54.0,3695A
116.2545,39.8768,16,81.0,1.0,41.0,28.0,0.9,65.0,3696A
116.84,40.3844,16,78.0,6.0,21.0,46.0,0.6,53.0,3697A
116.3621,39.8784,17,65.0,2.0,47.0,25.0,0.7,68.0,1001A
116.2202,40.2915,17,85.0,3.0,59.0,14.0,0.9,62.0,1002A
116.4174,39.9289,17,69.0,1.0,37.0,34.0,0.7,59.0,1003A
116.4072,39.8863,17,68.0,3.0,41.0,30.0,0.9,61.0,1004A
116.462,39.9365,17,74.0,2.0,30.0,29.0,0.8,59.0,1005A
